City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,luanda,-8.8368,13.2343,25.0,94,75,1.03,AO,1682056237
392,warrnambool,-38.3833,142.4833,17.96,83,99,5.01,AU,1682056097
393,kulhudhuffushi,6.6221,73.07,28.77,65,6,1.18,MV,1682056238
394,angoche,-16.2325,39.9086,25.52,78,1,2.48,MZ,1682056238
395,alice springs,-23.7,133.8833,23.75,31,82,7.2,AU,1682056052
396,mecca,21.4267,39.8261,32.02,27,38,0.59,SA,1682056240
397,puerto carreno,6.189,-67.4859,27.12,73,100,1.49,CO,1682056240
398,chara,56.9064,118.2631,-4.06,60,100,1.44,RU,1682056241
399,lusambo,-4.9667,23.45,24.35,84,100,0.69,CD,1682056241
400,zhezkazgan,47.8043,67.7144,11.99,32,0,3.0,KZ,1682056242
401,yar-sale,66.8333,70.8333,-0.42,94,95,4.09,RU,1682056242
402,kailua,21.4022,-157.7394,25.99,94,100,4.63,US,1682056243
403,canala,-21.5333,165.95,25.55,82,46,2.45,NC,1682056243
404,pappadatai,39.3133,20.7925,12.39,77,0,1.34,GR,1682056244
405,madhubani,26.3667,86.0833,37.11,13,99,3.82,IN,1682056245
406,san vicente,-26.6167,-54.1333,7.62,79,0,1.25,AR,1682056245
407,bukachacha,52.9833,116.9167,0.72,31,100,3.13,RU,1682056246
408,haapiti,-17.5667,-149.8667,28.85,79,100,9.2,PF,1682056246
409,prince george,53.9166,-122.753,4.69,81,100,1.03,CA,1682056247
410,oktyabrskiy,54.4815,53.471,13.36,41,100,4.41,RU,1682056248
411,sorland,67.667,12.6934,5.92,96,100,6.22,NO,1682056248
412,severnoye,56.3491,78.3619,6.38,38,41,5.17,RU,1682056249
413,fethiye,36.6217,29.1164,15.93,49,23,1.29,TR,1682056249
414,isangel,-19.55,169.2667,27.27,74,16,4.54,VU,1682056250
415,port-gentil,-0.7193,8.7815,25.98,100,20,1.54,GA,1682056250
416,mayo,38.8876,-76.5119,18.38,88,0,1.54,US,1682056251
417,kutum,14.2,24.6667,27.08,10,2,4.14,SD,1682056251
418,victoria,22.2855,114.1577,26.91,84,94,4.47,HK,1682056252
419,alugan,12.2188,125.4808,29.29,68,100,3.74,PH,1682056252
420,bone,51.9669,12.1396,10.72,82,4,5.23,DE,1682056253
421,buin,-33.7333,-70.75,15.41,91,100,0.74,CL,1682056254
422,matara,5.9485,80.5353,31.91,60,14,4.4,LK,1682056254
423,ozinki,51.1786,49.6769,13.86,34,100,6.66,RU,1682056255
424,kapustin yar,48.5831,45.7372,14.05,40,100,5.73,RU,1682056256
425,arkadelphia,34.1209,-93.0538,18.03,100,100,2.57,US,1682056256
426,salalah,17.0151,54.0924,29.05,70,75,2.06,OM,1682056042
427,tezu,27.9167,96.1667,31.05,35,96,1.41,IN,1682056258
428,saint-augustin,51.226,-58.6502,1.15,95,100,5.46,CA,1682056258
429,port keats,-14.25,129.55,29.62,61,56,4.61,AU,1682056259
430,hare bay,48.8499,-54.0148,0.66,98,100,6.4,CA,1682056259
431,la macarena,2.1837,-73.7849,22.02,99,100,1.13,CO,1682056260
432,carutapera,-1.195,-46.02,24.58,93,76,2.16,BR,1682056261
433,nishihara,26.1842,127.7558,24.03,83,100,7.2,JP,1682056261
434,port hedland,-20.3167,118.5667,31.03,25,70,7.2,AU,1682056057
435,stykkisholmur,65.0757,-22.7297,4.27,92,63,0.97,IS,1682056262
436,buala,-8.145,159.5921,28.42,73,84,2.46,SB,1682056263
437,ocos,14.5094,-92.1933,28.27,71,99,3.69,GT,1682056263
438,deputatskiy,69.3,139.9,-10.25,87,100,1.87,RU,1682056264
439,santiago del estero,-27.7951,-64.2615,15.23,63,35,4.02,AR,1682056264
440,trairi,-3.2778,-39.2689,24.42,93,30,1.62,BR,1682056018
441,sungaipenuh,-2.0833,101.3833,25.19,74,79,1.2,ID,1682056265
442,mugumu,-1.85,34.7,20.37,70,91,2.51,TZ,1682056267
443,san quintin,30.4833,-115.95,15.5,77,0,2.49,MX,1682056267
444,aksay,47.26,39.87,12.36,61,100,3.13,RU,1682056268
445,teya,60.3778,92.6267,-1.17,79,93,1.02,RU,1682056268
446,liverpool,53.4106,-2.9779,8.69,82,40,3.09,GB,1682056008
447,poum,-20.2333,164.0167,26.45,75,14,3.82,NC,1682056269
448,samarai,-10.6167,150.6667,28.63,70,19,4.18,PG,1682056270
449,pangnirtung,66.1451,-65.7125,-7.18,83,100,2.07,CA,1682056270
450,diffa,13.3154,12.6113,29.23,18,20,3.16,NE,1682056271
451,ust-nera,64.5667,143.2,-0.37,82,100,2.52,RU,1682056272
452,saint-paul,-21.0096,55.2707,29.44,87,13,0.45,RE,1682056272
453,sobolevo,54.4299,31.8996,9.51,56,1,5.11,RU,1682056273
454,lompoc,34.6391,-120.4579,15.47,82,0,4.12,US,1682056273
455,dhanera,24.5167,72.0167,34.81,18,3,4.56,IN,1682056274
456,muscat,23.6139,58.5922,33.01,49,47,2.41,OM,1682056002
457,hibbing,47.4272,-92.9377,-1.22,93,100,3.09,US,1682056275
458,quatre cocos,-20.2078,57.7625,28.06,77,18,5.9,MU,1682056276
459,manado,1.487,124.8455,27.43,89,40,2.06,ID,1682056276
460,bull savanna,17.8868,-77.5902,22.35,85,5,2.35,JM,1682056277
461,yerbogachen,61.2767,108.0108,-1.31,59,89,3.56,RU,1682056277
462,qui nhon,13.7667,109.2333,30.87,63,96,7.26,VN,1682056278
463,linhares,-19.3911,-40.0722,23.07,72,100,5.12,BR,1682056279
464,aripuana,-9.1667,-60.6333,22.18,99,99,1.0,BR,1682056279
465,mandvi,22.8333,69.3667,30.17,55,11,6.08,IN,1682056280
466,nouadhibou,20.931,-17.0347,18.0,87,74,6.54,MR,1682056280
467,krasnogorsk,55.8225,37.3181,11.62,34,0,4.0,RU,1682056281
468,yeppoon,-23.1333,150.7333,29.88,65,67,8.52,AU,1682056281
469,viransehir,37.2353,39.7631,15.59,62,0,0.94,TR,1682056282
470,sao joao da barra,-21.6403,-41.0511,22.34,66,96,5.33,BR,1682056283
471,lazo,43.3817,133.9014,9.46,24,43,7.92,RU,1682056284
472,aloleng,16.1307,119.7824,29.69,70,62,4.21,PH,1682056284
473,comoapan,18.4167,-95.1667,26.66,65,94,2.88,MX,1682056285
474,ambovombe,-25.1667,46.0833,26.36,61,4,1.46,MG,1682056286
475,chissamba,-12.1667,17.3333,17.18,96,100,1.56,AO,1682056287
476,jijiga,9.35,42.8,21.15,67,5,6.1,ET,1682056288
477,donja dubica,45.075,18.4114,10.71,84,55,1.84,BA,1682056288
